year,date,qtr,Vader Sentiment,Normal rating,review,
2012,08-02-2012,1,0,4.5,Some parts of the interior seem cheap - plastic bolt under glove box has popped out leaving the upholstery flapping gear shift ring broke etc. Outside the paint is peeling on the strip between the sunroof and front windshield. The worst issue is the clutch dying suddenly at 28000 miles (no slipping no burning clutch smell to warn you it just worked and then it didn't in my case in the middle of an intersection.) I've driven stick all my life and never run through a clutch that quickly. Peruse the forums and reviews for the 2012 FIAT 500 Manual Transmission and you'll see I'm not alone. No help from the dealership either.,
2012,01-03-2012,1,-0.8454,3.125, I bought my new 2012 Fiat 500 Pop on 12/22/2011.,
2012,05-03-2012,1,0,4," I also have had ""issues"" with my Fiat.",
2012,26-01-2015,1,0,3,Not explanable nor able to recreate.,
2012,12-03-2015,1,0,4,Right now I cant think of any.,
2012,13-01-2016,1,0,3,"Concerned with an event.. ""slipping into drive"" while idling.",
2012,24-01-2016,1,0,3,That day I noticed electrical problems and that the leak wasn't repaired. Returned it to the shop More open body seams were found around the windshield. I requested a replacement. Fiat agreed. The dealership acquired my replacement on 02/10/2012 but has yet to get it to me (03/01). My Fiat Case Manager is Kathy Nelson but I have no way to contact her. I regret my purchase.,
2012,30-04-2011,2,-0.8176,5, My first impression was to laugh at this car it was tiny and looked 'different'.,
2012,24-04-2013,2,0.6705,4,"Three days after purchase I noticed an interior water leak and returned the car to the dealer. The dealer found that the cause of the leaks were ""body seams that were left open unwelded and unpainted during manufacture.""",
2012,08-04-2015,2,-0.34,3.25, I want to love this car but one of the main reasons I bought it was for its affordability and I haven't even had it 2 years and I'm already paying 10% of the original cost in repairs! I bought it one year used with 11000 miles on it. It's now 28000 at miles and it's had problems with everything from cosmetic issues like peeling paint to an air bag sensor failure to a very serious no-warning clutch failure (which was not covered under warranty after 15000 miles). The clutch replacement at a FIAT dealer has taken 10 days so far and is costing a small fortune. It's a fun car but just not holding up! I always drove a Subaru or Toyota before and I think it may be time to go back. ,
2012,08-04-2015,2,-0.3661,2.75,Affordable (assuming you don't need repairs that aren't covered by the warranty) cute good gas mileage handles well given the small engine (struggles a little on hills) makes parking easy back seat folds down easily to carry a decent amount of cargo. ,
2012,14-04-2015,2,0.9062,2.5, Got the car back after 23 days in the shop.,
2012,07-07-2015,3,0,3.125,It's 101hp so your not going to win any drag races... but you can throw this car into any corner on ramp or off ramp almost at any speed and it will just go exactly where you point it!,
2012,04-08-2015,3,-0.4172,2, I was driving at a speed of 55 mph when without any warning my car shut off.  Thank God I or someone else was not hurt. My fiat is a 2012 with 53000 miles on it.  The only thing Ive had to do is replace both brake lights at the same time and a headlight. When the car died I could not get my key out of the ignition nor could I get the car out of gear.  It had totally locked up.  Just called the dealership and the car wont even communicated with the computer to find out whats wrong. Sounds expensive to me.  ,
2012,02-09-2015,3,0.1808,4,The 6-speed Italian made tip-tronic automatic is a brilliant transmission!,
2012,24-11-2015,4,0.6239,2,Will need to wait for 6-8 weeks for a part r/t the strut.,
2012,25-11-2015,4,0,3,Shifts when you want it to & gives you a great power band.,
2012,28-11-2015,4,0.6597,3,Ride handling Blue & Me Style,
2012,07-12-2015,4,0,5,Some are being rectified others...my loss.,
2012,14-12-2015,4,-0.3182,1,I never thought that I would Love driving it!,
2013,27-01-2013,1,0.6696,4.875,Each one a wonderful little car....as long as you loved sporting little Italian designed automobiles.,
2013,12-02-2013,1,0.8225,4.75,"The seats bother my lower back on longer trips.  I dropped the money for wet okole seat covers with lumbar support and now they are pretty good.  Given that getting leather seats was a waste and maybe the cloth would have been better on my back.  Blue and me interface is pretty low tech and user un-friendly but not a deal breaker.  Beats audio is better than stock but still not great.  If you get 17"" wheels with summer tires you will need dedicated snow tires if you ever touch snow/ice.  ",
2013,01-03-2013,1,0.7656,4.875,After having had my Fiat 500 for two months I feel that I know the car well and can comment on it.,
2013,09-01-2014,1,0.2732,5,Then when they tossed in the Abarth engineering along with a Turbo and strengthened trans equal length half-shafts etc.,
2013,16-01-2015,1,0.4215,4.25, Up front I'll say that I love this car and it is great for my needs.  But this is absolutely a niche vehicle that is lots of fun as a run-about but gives up a lot in utility/flexibility.  There is no way I would have bought this as an only car in the household--something like a GTI would make way more sense or a Focus ST if you wanted more edginess.  That said I felt the Abarth had way more character was more fun and was more unique for a hot hatch.  It feels a more raw and simple than the competition--which I like.  It gets me to work every day puts a smile on my face when I drive it gets good gas mileage and for short trips fits a family of three and groceries for a couple of days.,
2013,13-03-2015,1,0.9704,5,Was considering other small/light 'fun' cars such as the Mini/Mazda Mx5/BRZ-FRS but for similar performance/features it would be 10K more anyway I just kind of fell in love with it after a test drive.,
2013,22-03-2015,1,0.7783,4.875, I test drove many cars looking for a cost effective economical car that would be a fun everyday driver while still be great on gas.  I test drove a Mini Cooper S convertible for 7 days and found it to be a noisy cheap car that really felt like a poorly built cheap car (shame on you BMW).  I looked at the beetle (just ok) focus (awful style) fiesta (nothing more to say) and many more but just could not find the fun factor I wanted.  Then I happened upon a Fiat Abarth 500C and thought that looked interesting.  I test drove it ... and wow ... it was incredible.  It was perfect!  It had the fun factor with the exhaust note convertible 5-speed and the power is great.  It also gets great gas mileage low insurance cost can seat 4 (yes the back seats are small but work just fine) feels solid/stable and best of all a low mileage used car can be found for under 19k ... and then I find that the warranty is 4 years/50k ... Bonus!  I have since put over 25000 trouble free miles on this car including a couple of long distance trips.  This car never fails to make me smile and always a willing partner to have some fun.  On top of that I get many comments on how nice the car looks because it is a limited edition Abarth 500c.  For 2013 there were only 250 imported to the USA ... so it is extremely rare to even see another one.  LOVE my car!,
2013,23-03-2015,1,0.9974,4,after 11000 miles in just under 3 months not a single problem  rattle  or squeak . Maybe I bite the bullet and go for an Orange Turbo at the end of the year anything but silver or grey . I'm sick of seeing silver cars .,
2013,03-03-2017,1,-0.5455,4, I have always purchased new vehicles so was quite concerned buying a used lease vehicle make by Fiat. But after a month I am impressed with this little electric car! I decided to investigate leasing an electric while idling my V-8 in commute traffic and ended up buying this Fiat. With the gas and bridge toll savings this used car will pay for itself in about 5 years plus reduced wear and maintenance on my Jeep. The biggest downside so far is the lack of Fiat service centers.,
2013,16-04-2013,2,-0.2244,5,With the 17-inch wheels and P-zero tires this light weight car feels fast and nimble not always stable on the edge. Provided you keep it in the mid-rev range the torque is strong and turbo lag is not an issue. ,
2013,15-05-2013,2,0.0031,4.875, I am an old dude 53 I have a Light seafoam green with ivory interior 2013 500 pop 5 speed with a sunroof  alum wheels and beats stereo  on top of all the other goodies that just come standard on this car . It rocks  fun  fast  stable quiet  I've owned one of just about everything over the years from Pintos to Porsches  literally. This is hands down one of my favorites. My only complaint is that the turbo doesn't come in ANY color I want!,
2013,20-05-2014,2,0.8172,4.25,  Abarth is ultimately more fun than my old mustang or Z a little power house that doesn't shy away from a fight love the engine growl and the kick more room than you think awesome bang for the buck .,
2013,28-05-2014,2,0.9008,5,Exhaust is great fun meaty and quick turbo engine good grip extremely easy to park in those spaces no one else can fit in.  I love the pops and backfires when you lift off the throttle quickly or when changing gears.  I like the high seating position. I really like the old style analog concentric gauge cluster--I have no problem quickly interpreting the data as some have reported.  Looks are great with the gray-tint headlight/tail light option.  I like the Abarth stripes--what the heck might as well with a car like this!,
2013,07-06-2014,2,0.9806,4.5, When Fiat left the US market oh so long ago I was not happy.,
2013,28-07-2015,3,-0.4585,5,This car replaced a turbo diesel car so needing fast acceleration was not a requirement. The first week of ownership I put mine and my wife's road bikes on the back and took off on a thousand mile drive to participate in a week long bike ride in Northern Idaho. We had to cross the continental divide and drive over many types of roads. This car has extremely comfortable seats and except for the extreme climbs has enough power. We averaged 35 mpg for the trip. Since then it is averaging 35-39 mpg with mostly city driving. We have had no problems great a/c and no rattles. Love this CAR,
2013,04-08-2015,3,0.7778,5,By that time I had owned a very used 128 wagon a new X-1/9 and then a new 131 Brava.,
2013,30-09-2015,3,0,5, You have to try it.. you may love or hate it - but it really is a fun car for 'enthusiast' drivers. Great value provided you don't pay the MSRP (I got mine (with 3 year tire insurance - which I already used once for a repair) for 19K US$ + tax with end of year discounts of 6K.),
2013,07-09-2016,3,0.9461,5,If Fiat sold the awd 500x with the  six speed in the US I would buy one.,
2013,19-09-2016,3,0,5,Fun the most fun than any car I have ever own worth every penny a pleasure to drive.,
2013,08-12-2012,4,0.9099,4.375,I did and I do so I was thrilled when Fiat returned to our market.,
2013,01-11-2013,4,0.4902,4.75, Just leased this. Really impressed with fit finish and fun to drive performance! Easy to exceed rated MPGe. With sweet lease deal total cost of car is less than I was spending on gasoline alone each month. Range is OK better than others except Tesla and Volt. Getting by with included slooow 120V charge device others may desire $800 optional fast charger. Costs $1 per day for electricity to drive 40 miles previous vehicle was $10 per day for gas. Very impressive car hope future models offer extended range and lower cost batteries. My SUV will last forever now parked except when needed!,
2013,09-11-2013,4,0.9799,5, I have now had the Fiat for 30 months. I still love the car. I have had no problems with it  and the dealership where I bought it gives great service. The only complaint that I have is that with the stock tires that it does not do well in deep snow. This is only a problem on my street which is not plowed.,
2013,14-12-2013,4,-0.0808,4.5, 1500 miles on my 500e. Lease $200 month. $2500 total down $2500 rebate from state of CA. Aero environment 220 charger installed today compliments of State of CA. Est monthly fuel cost to drive 1000 miles approx $35 per SMUD utility rep. 500e total car expenditure less than gas and routine maintenance alone on my MB C230...like winning a free car in a contest. Enough ACCT 101. This little thing is pretty fun. Very spunky and quick off the line. Easily separates from ICE cars off green lights. Great around town car or 2nd car. I drove it 95 miles very gently today and had 10% charge left. ,
2013,15-12-2013,4,0.9733,4.875,Yikes! Slams itself into park if you turn off key while still rolling slowly--- this is a recall/safety problem for sure!  Tires noisy can't help it-- super quiet and it's all you hear! A bit rough riding but the wheelbase is only a bit longer than my dog...,
2013,19-12-2013,4,-0.6283,5,Loaded features hard to pick one-- Bluetooth phone heated seats Sat radio...,
2013,01-11-2015,4,-0.1027,5,Update 35000 miles still having fun..range is about 85-90 miles now..,
2013,23-11-2016,4,0,5, I love the looks and handling. This would make an awesome commuting car; however it would be a little tight for passengers in the back seats. The typical downsides are minimal range (<100 miles) and takes at least four hours to charge from 'empty.',
2014,06-01-2014,1,0.8519,2.25,To start off I love the transmission but I've adapted my driving habits to ensure its longevity. It is after all an automatically shifted manual- not a slush box.  What I'm talking about is for example to select the gear you want using the manual mode when in stop and go traffic in particular when you're creeping along and I always put it in neutral if I'm going to be stopped for any length of time. The reasons for driving the DDCT in this way are a bit technical and maybe that's why dual clutch transmissions haven't caught on so well stateside. In any case for 2015 all but the Pop trim come with the Aisin slush box if you opt for an auto transmission. ,
2014,16-02-2014,1,0.5126,4.875,We now have a son who is almost 1 and he's spent his entire life thus far riding in this car.  With the car seat in the middle it's a little cramped in the back but nothing bad. ,
2014,21-02-2014,1,0.5824,5,This vehicle has all the features of the pricier Honda CRV at about 5K less -- and it looks better and handles better on the road. Last month I took it on a 800 miles road trip and it was so enjoyable to drive.,
2014,28-03-2014,1,0.8605,4.625,The smooth shifting 6 speed manual.  1.4 turbo that is very willing.  Huge interior for a car this small.  Bluetooth Nav backup camera.  Value.  These cars are CHEAP now that theyve got a bad rap.  From what Ive heard avoid the automatic and youll be fine or wait for the 2015 and its conventional automatic tranny.  New 2014 ones are deeply discounted and I just bought a used 2014 in Jan of 2015 with only 3k miles for $12500!  You cant beat that value with any other car on the market!!  Heck I love it when Consumer reports blasts a perfectly good car.  Just makes them that much cheaper to buy!!  Give this car a chance if you can drive a stick.  You wont regret it!!!,
2014,24-02-2015,1,0.9463,4.625, Like someone else said this is one of the most underrated small cars on the market today.  It's well documented that Americans don't like wagons or minivans for that matter.  Well apparently neither do most auto journalists because this car is lambasted in every pupublication.  Just go drive one for yourself these are TONS of fun. In Colorado here at this elevation Turbos and their forced induction rule the land.  Maybe in Texas at sea level this car seems pokey but in this thin air this 1.4 direct inject turbo runs hard and is a blast to drive. I upgraded from a Mini Clubman and LOVE the fact I can fit 3 car seats wide.  To be fair I have the 6 speed manual so no automatic problems here.,
2014,12-01-2016,1,0.8047,5, We've had our 500L for 2 years now though have only put on 14K miles so far and it's my wife's daily driver. Ours is the Trekking trim with the 6 speed Dual-Dry-Clutch Transmission. In response to an earlier recent review where the reviewer gave the car just 1 star my experience couldn't be more different. ,
2014,29-01-2016,1,0,4, Overall this has been a good car for us.  We've taken a number of long-ish trips (3-8 hours in the car) and we've never had an issue.  It's a comfortable ride (I'm 5'10 my wife 5'4 and we both fit comfortably in front or in back. ,
2014,02-02-2016,1,0.8957,4, I have put 45000 miles on my 500L Trekking in 27 months. It is driven 3-5 days a week to work 24 miles one way. I have made numerous trips of 300 to 450 miles one way. I find the front seats become uncomfortable only on the longest trips. I track my MPG since new and average 30.3 MPG. My best is 39.8. I have the auto transmission and I did have to get used to it. It does not always shift smoothly. I had a problem with the engine check light due to a fuel vac leak. The leak was never found and the problem stopped over a year and a half ago. I love the dashboard. I like a simple layout and feel the FIAT gives it to me. The view from the drivers seat is beyond compare. Cargo room is great. I can carry 2x4x8 boards in the car. It has been a great little car. The TECH package was the selling point for me. The backup camera is awesome.,
2014,24-02-2016,1,0.91,5, I bought this new in March of 2015. Advertised $8000 off MSRP. Great buy.  The turbo kicks in @ 3000 rpm's and it becomes a rocket! Easy access massive headroom.  I have 10000 miles and no problems.  I personally love the European Automatic Transmission (DCA). Feels like a manual without the clutch Most new 2016 models at the dealers have an American Automatic. Guess some people didn't like the DCA. Plenty of trunk space Always get great mileage.,
2014,25-03-2016,1,0.9493,5,Overall I consider the Fiat Abarth to be an excellent alternative to a big sport touring bike for those of us who have outgrown (literally and figuratively) motorcycles.  Evening blasts through the countryside w/ the windows down cruising around town listening to the burbling exhaust running it up through the gears and stints on the interstate are all at least 95% as much fun as I'd have on a motorcycle.  The roof windshield wipers HVAC heated seats stereo airbags luggage space and relative comfort (for two!) more than make up for the other 5% of lost performance and 'freedom'.  And my lightly used Abarth was much cheaper than any of the big sport touring bikes.,
2014,06-06-2015,2,0.7424,2.75,The trunk doesn't fit the jogger stroller very well well just enough for the stroller and nothing else.  It will fit in the front seat (upside down) but it makes reaching the shifter a bit awkward.  We really should have gotten a larger car but my wife LOVED the unique look of the car and the fact that you just don't see many of them around.,
2014,04-04-2016,2,0.8415,4, I loved my 2012 500c but found myself needing something a little larger.,
2014,08-04-2016,2,0.3506,5,UPDATE - The Abarth continues to impress!  I've put about 5000 miles on it and everything continues to work as it should.  Overall fuel mileage remains 30 mpg average in mixed driving.  I recently took the Abarth on a nice long road trip up to PA and it was great fun hurtling along the backroads of MD and eastern PA.  Third and 4th gears are perfect for that kind of thing.  The Abarth is surprisingly comfortable on the Interstate but I prefer secondary roads if only to allow me to use the gearbox more!  Many folks complain about the shifter but I find that it works just fine.  The throws might be a tad on the long side but engagement is precise and shifts can be very smooth.  The leather wrapped Abarth steering wheel and shifter are both a pleasure to use.  The 'sport' button on the dashboard provides a noticeable bump in power but I usually don't bother w/ it.  The brakes are VERY good.  As noted by some others the turning diameter is about the same as most mid sized SUVs which is surprising.  Apparently the Abarth modifications to the front suspension required it.  I've adjusted but it's ironic to drive such a small car and have to plan ahead in some parking situations as if you were driving a truck.,
2014,25-04-2016,2,0.9825,4,UPDATE Sept. 28 2016 - I'm over a year in with my used 2014 Abarth and I still love it.  A ball joint started creaking in the front suspension but that was repaired under the excellent 4 year/50000 mile bumper to bumper warranty.  At my rate of driving I'll be able to enjoy full warranty coverage through August of 2018!  My local Fiat service department is primarily a Dodge shop and customer service is TERRIBLE.  But the Fiat mechanics seem solid and the annual oil change was only $68 for full synthetic. The Abarth has proven to be very reliable and I'm looking forward to some autumn road trips.  I added a $15 Bluetooth dongle for the aux input and now I can enjoy streaming music from my phone as well as the standard Bluetooth phone integration.  Later models have better Bluetooth capability standard.  Bottom line - If you are looking for a fun inexpensive second car you should definitely test drive a 500 Abarth.  The bang for the buck is tremendous and it's an absolute blast to bomb around in.,
2014,21-06-2016,2,0.9732,4, It's a shame this car has gotten such bad press. I know some have had bad experiences but I've read about others who have had wonderful experiences with this car. You can almost park this car almost anywhere -- I believe it's length is a few inches shorter than a Toyota Corolla -- yet it has such room inside for passengers and cargo. It's not a sports car but it handles well enough and rides comfortably on all but the roughest or bumpiest roads. As of this writing I have had no issues at all; just normal maintenance. The bad press has probably affected sales so look carefully for a good deal if you're shopping for one.,
2014,19-05-2017,2,0.5295,5, This is so much fun to drive.,
2014,19-07-2013,3,0.5542,5,So what am I to do?? Not drive the car in USA stop and go traffic?!,
2014,13-08-2013,3,-0.4646,3.375," I really like my new 500L but it does not like me. After 6 days 350ml it broke down in stop and go traffic on I-25 outside Denver. The twin clutch automatic heated up smoked and therefore the system shut down. Had roadside assistance tow it back to the Fiat dealer. After setting for three days the car started okay and was drivable. The dealer could not find any problems the engineer in Italy could not find any problem with the readout data. Their comment was that with the stop and go traffic the 500L twin clutch automatic acted ""normally"".",
2014,21-07-2014,3,0.5283,5,I do hate to see Fiat get such a bad rep.  Even though I have the stick shift it would be nice to see the 500l have less problems especially with the auto.  Mine had the cold start problems but was correctly diagnosed by the dealer to be a weak battery from the factory. The service advisor said that many of these 500 L came here with bad batteries possibly due to sitting in the shipping yard for a few months. With a fresh battery it has given me zero problems starting on some of these cold Colorado mornings.,
2014,31-08-2014,3,-0.9309,4.75,Fiat USA is still working with me so hopefully there will be a positive outcome.,
2014,26-09-2015,3,0.7959,5, I love my Abarth.  It's our second car but we've already taken it on one long road trip.  It is a very fun car to drive and feels much faster than it is.  I'm surprised how comfortable it is given all the negative press I've read.  For 2 six foot adults the car is perfectly comfortable.  Miles per gallon are better than EPA estimates but smiles per gallon are off the charts.  The touch points in the cabin are very nice even if there is a lot of hard plastic.  No complaints at all.  Comfortable fun economical practical and it sounds awesome when you run it up through the gears!  Buy a lightly used one and you won't regret it.,
2014,01-10-2014,4,0.9932,5,Some criticize the 500L for having too firm of a ride but to me it is sublime giving a very nice balance between ride and handling. The steering weights up nicely as you turn in though I wish the turn-in response were a little sharper. It is very stable once into a corner and it's fun to hustle it if you're in the mood though the car is really excellent at just cruising on a sunny day esp. if you've opted for the panoramic roof.,
2014,19-10-2014,4,0.9858,4.125, I bought a Fiat 500L Trekking in September 2013. To be honest it took me quite awhile to get used to its rather quirky transmission -- and I have a manual!! The issue was the six gears and the need for a quick shift between first and second. But now that I have gotten used to how and when to shift I am very happy with my purchase.,
2014,18-12-2015,4,0.835,5,I traded in the cabrio for the new 500L and am very pleased with it so far.,
2014,28-12-2015,4,0.4927,1," I've had no problem with the car rolling backwards on a slight incline when pulling away from a stop and hill hold assist works well when on any incline greater than ""slight"".  The engine has proven to be plenty quick enough for merging with traffic etc. and frugal if you're easy on the gas. I've gotten upwards of 39 mpg when on back roads with no traffic 34 or so on interstates 25 to 27 in town (lots of cold starts routinely so the economy suffers a bit for that).  ",
2015,22-01-2015,1,-0.6326,5, I bought my 2015 fiat 500 pop six months ago from Car Pros Fiat of Renton that's when my troubles started... at the first rain I found out that my car has a leak car did not have even 500 miles when I took it to get serviced in staid of giving me a new car they repaired it and this is only the beginning.... stereo problem done the software update no changes had the engine check light that went on  the heater takes 20 MIN to defog at full power driver seat latch sticks and now another leak. The car has only 3030 miles and it has been repaired 6 times. Till this moment Fiat USA and the dealership is still giving me the turn around. After a months of calling and sending emails I finally got an answer from fiat acknowledging that there is problems with this car and they offer an extended warranty... really  you think I will keep a car with so many problems. Now I found water again in the back of my car it's three times now.,
2015,22-02-2015,1,-0.9062,5,It has lots of room both front and back and handles like a European Car should handle. It cuts and turns quickly and holds the road beautifully. All of that while maintaining a comfortable ride.,
2015,10-03-2015,1,0.8074,4.875," Although the MSRP is $16000 I paid $13000 for a brand new 2015 model on Black Friday after a lot of negotiating. While the price is the best feature of this car putting an affordable nice new car within reach of anyone at any income level the FIAT just has so many other great qualities on top of that. It gets 40 miles per gallon on the freeway and I average 34 including city driving in my typical commute. It easily reaches freeway speeds and feels very safe and comfortable at 75 MPH. It has excellent handling in all circumstances. The interior was actually ""designed"" not ""thrown together."" The manual transmission is very fun to drive with even when it's not in sport mode.",
2015,23-03-2015,1,0.9839,5, After one year of ownership I fully stand by my first review.,
2015,14-01-2016,1,0,5," Lease terms are great when combined with rebates from California State and Central Valley.   Car is a hoot to drive: fast and responsive with great handling.   It also is cute and sophisticated looking.   Range is about 100 miles in the relatively flat Central Valley.   This car works great as a city commuter and carries our shopping purchases easily in the ""trunk"" and the extra space made by folding down the rear seats.  We are family of two ""empty nesters"" so although this car is an addition to our gas engine vehicles (bought to complement our newly installed solar array on the rooftop) it has become the favorite car to use.   Front seats are fine but rear seats are a bit cramped.  Controls are ""interesting"" reflecting Italian design!!   The integrated info system in 2016 is a bit improvement over previous models.  In addition the interior white/black color scheme is practical but classy.   We have had no problem in the city or on the highway.  Beware that this car does not allow Level 3 charging so expect to wait a bit longer for it to charge with Level 2 at public charing stations or a lot longer with the Level 1 charger that comes with the car.",
2015,19-01-2016,1,0.9421,1,This is a follow up to the review I did last year. I have put about 7000 miles on her like I said I don't drive much and she is still doing great. I really have no complaints at all about this car. We even traded in our Mini for the 500X and we love it as well.,
2015,06-02-2016,1,0.8155,4, Let me first say I bought my 2015 Fiat pop on a whim I didn't need the car I had a Dodge Journey RT and loved it but honestly I wanted to see if my bank would allow me to have a second car they did! So I bought my Fiat 500 pop automatic in the color coffee brown. Now personally I wish I got the abarth I'm not sure why I didn't test drive it prior to my purchase but what's done is done. My pop is cute it's practical I average 29.6 mpg with tires low tire pressure light on to 34 mpg with good road and weather conditions. My best mpg for around town mixed with freeway was 39mpg! That was done after I washed my car and engine bay. So mpg is reasonable gas cost for me $20-24 depending where I go to fill up. Yes that is all I pay at the pumps for a full tank of gas! :) after 1 year of owning the car I started to lose a hubcap so I took them all off and saved them. Car looks better without hub caps :) size of the car is awesome! I can fit in any parking spot I can get in and out of traffic with ease people let me merge into lanes because my car is so small and most other fiat drivers are super nice! I do any repairs myself minus oil changes I pay for full synthetic and it cost me around $100 every 5000 miles. Charlie Brown my car has not given me any issues since I purchased it brand new in November of 2014. I have about 19k miles on it. I always feel safe driving it sure I can't beat my fiancées VW golf TDI off the line but Charlie always gets me where I need to go and never lets me down. So what I don't like about the car is the cup holders! They annoy me I can't get to large cups from McDonald's to sit perfectly next to each other. :( I feel the layout of the cup holders could have been better thought out the sun visors or a bit short and don't always block out the sun but adjust your seat to a higher level and it works out ok. The arm rest my pop only came with one! Um... Yea there is a fix to this an aftermarket arm rest that can be installed but you lose your cup holders in the back part of the car doing this. One cool and safe feature is if it's raining and your backing up your rear window wiper automatically starts to clear the back window allowing you to see where your going! Smart thinking Fiat! I have programmed all my doors to unlock with just one touch of the Key FOB. Radio works great the car heater and ax works superb! Seeing that the car is so small it doesn't Take much to cool or heat up. So in closing I have a love hate relationship with my car more love than hate would I buy the car again? Heck yes! It's cheap to own easy to fix although nothing has broken yet for me I have installed a few extra gadgets for the car like hydraulic support arms for my hood. Replacement engines cost about a grand sometimes less. I plan to own this car till the frame falls apart lol I'll replace the engines when the time comes. I think for what it's worth this is a great first car collage bound car for your child good for retired people not to family friendly due to size but if you had to you could. I'll give this car an 8/10 for overall satisfaction! Thanks for reading don't let the little things like cup holders get to you just work with it every car has its flaw. Take care of your car and it will take care of you.,
2015,15-02-2016,1,0.9992,5,The appearance means a lot to me also as it is highly unique and does not have the cookie cutter design that most cars have.,
2015,05-03-2016,1,0,5,I noticed that it stands just a few inches short of my 2003 Chevy Venture van.,
