year,date,qtr,Vader Sentiment,Normal rating,review
1990,10-07-2002,3,0,4,headers and hypeteck TBI power 
1990,16-11-2002,4,0.1007,4.625,  This is a very good running truck. Add 
1990,05-03-2006,1,0.4927,4.75,a K&N off road air system hooker 
1990,24-12-2009,4,0,4.25,will be able to run with any new vortec 
1990,25-10-2010,4,0,5,charger. All available at jegs.com. You 
1991,27-02-2002,1,-0.9217,4.625,Good overall reliablity
1991,30-05-2003,2,0.4404,4.5,ABS tail light bulb recepticals a/c compressor.
1991,27-10-2004,4,0.7964,3.5, It was a lease back had 116000km on it. At 240000km rebuilt auto tranny. It has 350000km on it now and I have to get the tranny fix. It has been to Oregon. I drove it to the mountains sledding for ten years and never missed a beat. Now I pull my fishing boat and take it hunting every year. Great truck!
1991,25-06-2005,2,0.7415,4.75,Solid 4X4 with the right tires
1991,27-06-2005,2,0,4.375, The enviornment is perfect as a guy that works outdoors for a living.-25c it was warm and cosy after a day framing houses on the Manitoba praries same when mid july when the temps. were +35c that air cond. cooled off just right. At work it worked and it is so pretty you could go to the theater in the evening and the fellas in caddys wished they were driving my GMC.
1991,18-03-2006,1,0.4005,4.125, No serious problems except the brakes which a lot of problems with the ABS and internal failures of the front brake hoses that failed internally.
1991,13-09-2007,3,0.3818,5,Better gas mileage. Stronger rear springs. Stronger bushings on the front end.
1991,29-03-2008,1,0.6124,4.875,Independant front suspension. Factory skid plates that protect everything (You should look under some of the brand new 4X4 trucks out there.).
1991,12-07-2008,3,0.8663,4.625, I used to drive this truck hard every day as a ranch truck. It has been the best performing 1/2 ton 4X4 I have ever owned. There is currently 340000 miles on the original 350 engine and it still passes CA smog tests with flying colors. The auto tranny has to be rebuilt every 100000mi. Have had electrical problems with lights and the heater controls. Other than that this is a nice truck for the year and money. 
1996,14-01-2003,1,0.9385,2.875,  I was very excited to purchase this 
1996,24-06-2004,2,0.1531,1.125, This is a typical GM product.  It 
1996,08-04-2005,2,0.5106,4.5,"Heavy duty brakes. Quieter engine when the A/C is on. A/C that cools the back quicker. Maybe a ""beep beep"" sound for when your backing up!"
1996,19-01-2007,1,0.7692,4.25,Space. High top. TV/VCP comfort of driving area being taller on the road than most vehicles.
1996,26-06-2007,2,0.9032,4.625,Great stereo sound. Fun to kick back and watch movies in the back. Lots of cigarette lighters for convenient electrical hookups. Easy to keep up the interior maintenance on too.
1996,02-11-2007,4,0.8834,4.625, I seem to have similar experiences to those reviews already written. Brakes need replacing a lot driver's side window works 75% of the time scraped up running boards while learning my boundaries and they don't do well in airport parking garages!  But my 6 kids Love this van! So much so that with 158000 miles we just purchased a new one! We are excited about spending 10+ more years with this one.
1996,12-11-2008,4,0,4.75, We have owned this vehicle for three years now and it has been great transportation. We had purchased it to make regular back and forth trips from Texas To California but wound up moving to Pennsylvania. It was a great ride in the cross country expeditions. We have used to haul machines lumber water purifiers and just plain traveling. We like the capacity as we carry people to church on Sunday and have had as many as 15 on the run. We would buy it again. The only real problem we have had was with a engine sensor that only happened while traveling in the California Desert and that was only once. Haven't had any other issues. Would recommend this baby to anyone who wanted a roomy ride.
1998,15-07-2002,3,0,2.625,miles) new dash board cluster broken 
1998,22-12-2002,4,-0.4019,4.375,including: new transmission (3000 
1998,01-09-2003,3,0.4754,4.625,for travel and camper. Lots of problems 
1998,16-01-2004,1,0.8779,3.375, I have a Glavel (AutoForm) conversion 
1998,01-12-2005,4,0,3.375,with 75000 miles. Very nice for kids 
1999,13-12-2005,4,0.1027,3.875, Great van. We use it to tow the US Bobsled to shows. Gives great power and fuel mileage for such a large van. I'm looking foward to buying the new GM Diesel van. We also take it to a lot of Nascar Races. We are very active in racing selling our products to several teams and sponsor several teams. It's not uncommen to see Nascar drivers catching a ride in our van. It can seat 15 people. All in all very satisfied.
1999,26-10-2008,4,0.9359,4.25,Good power great fuel economy. 24MPG hwy 18 towng hwy. And I can bring 15 of my friends with me.
1999,15-12-2015,4,0.6705,4, bought this van new in 2005. The only repairs beside the normal (oil tires brakes fluids) was a water pump at 185000 miles. Put 191000 on this and was still going strong until i t was in a wreck. This was one of the most dependable vehicles i have ever owned.
2000,14-03-2002,1,0,2.75,ton is amazing.  Better brakes and 
2000,26-03-2002,1,0,4.375,difference between a 1/2 ton and 3/4 
2000,03-06-2002,2,0,4.5,again.
2000,14-11-2002,4,0.7906,2.75,Firm up the brakes a little. 
2000,13-01-2003,1,0.7717,3.625,suspension for starters makes the 3/4 
2000,03-02-2003,1,0,4.75, This has by far been the best truck 
2000,16-05-2003,2,0,4.25, I love my Yukon XL.  This is my first 
2000,20-07-2003,3,0,4.875,problems...the fuel pump screams which 
2000,29-08-2003,3,-0.296,4.75,it did not do when new and dealer trys 
2000,09-11-2003,4,-0.4019,3.5,not been fixed. Here is a list of the 
2000,24-01-2004,1,0,3.125, I spent over $40000 for this truck 
2000,01-02-2004,1,0,3.375,and have had MANY problems which have 
2000,20-03-2004,1,0,4,vehicles combined in 12 years-
2000,19-04-2004,2,0,3.375,spend more time and money on repairs on 
2000,06-06-2004,2,0,4.125,There have been major repairs.  I have 
2000,22-08-2004,3,0,3.25, Have owned the vehicle for 13 mths. 
2000,04-10-2004,4,0,3.25,this GMC than on my three previous 
2000,30-11-2004,4,0.9938,4.75,Very roomy vehicle. It will be great for long trips in the summer. Lots of leg room and easy to move around in. 
2000,01-03-2005,1,0.5719,4.875, So far so good with this van. It is a big vehicle and sits high off the road. I have the 5.0 ltr motor which gives it decent power. A little noisy when you punch it to merge with fast traffic. Brakes are spongy but work when required. It is great if you have lots of kids. It seats 6 people very nicely. Very roomy and the heater is great. Good handling but tends to pull in high winds. It is a highway cruiser vehicle however it handles nicely in town. Gas mileage is great. I like it a lot. I am glad I bought it. GMC makes a good quality vehicle which is why I bought this make of van. I have not yet drove it in deep snow which will be the real test for handling. 
2000,10-04-2006,2,0.3612,4.25,none
2000,19-01-2007,1,0,4.875,The seat feels like your sitting in a  chair not a vehicle
2000,21-10-2007,4,0.6369,4.625,SUV and I will never go back to a car 
2000,20-01-2009,1,0.6369,4.5,that I have ever owned.  The 
2001,12-01-2002,1,-0.5574,4.25,fixed. No major mechanical problems and
2001,10-02-2002,1,0,4.375, As soon as I saw the HD crew cab I 
2001,04-05-2002,2,0.3612,4.75,yet easily handles a 12000 lb trailer 
2001,18-06-2002,2,0,4.875,only took a test drive to prove that to 
2001,28-08-2002,3,0,4.625,knew that I wanted to own one.  It 
2001,03-09-2002,3,0.34,4.875, The 2001 Yukon XL is extremely comfortable and powerful.  The interior is perfect fit and feel for the driver and plenty of room for the kids and cargo.  I have the 2500 series and the ride is still smooth but a bit stiff.  With the 6.0 315 HP engine there is plenty of power but you pay for it in gas about 15 MPG.  I would highly recommend the purchase.  Adding a TV and DVD Player keeps the kids really quiet and makes trips effortless.
2001,12-11-2002,4,0,4.375,mirror defroster died and had to be
2001,15-12-2002,4,-0.4019,4.75,last 2 1/2 years is the driver side
2001,05-01-2003,1,0.4404,4.375,as more padding in the bottom seat and 
2001,10-03-2003,1,0,4.5, My overall experience has been great!
2001,26-03-2003,1,0,4.75, My 2001 GMC Yukon XL is in a word 
2001,19-04-2003,2,0,4.75,interiors industrial-grade paint and 
2001,03-06-2003,2,0.8597,4.25,Heated Leather Seats and Headphones for rear passengers and rear AC.
2001,07-06-2003,2,0,4.5,would not start up the next day. The 
2001,14-06-2003,2,0.7783,3.5, For a top of the line truck that listed 
2001,16-06-2003,2,0,3.5,problem was the fuel pump. The service 
2001,01-07-2003,3,0,4.625,company would put in better seats ;such 
2001,16-07-2003,3,0.6588,2.625,The only problem that I have had in the
2001,06-08-2003,3,-0.4019,5,consultant eluded to the fact that this 
2001,14-08-2003,3,0.296,4.5, I was shocked when a perfectly well 
2001,05-11-2003,4,0,5,go back to having the whole seat move 
2001,13-11-2003,4,0,1.875, at first the vehicle was supurb.  
2001,14-11-2003,4,0,5,figured I'd try it. Man let me tell 
2001,13-03-2004,1,0.69,4.375,Two complaints: The release for the emergency brake is too low to reach and all but the driver's seatbelts lock up if you move forward and you have to open the belt and reconnect it -over and over.  (I also wish the rear seat cup holders were deeper.)
2001,08-05-2004,2,0.7003,5,Shortbed is easy to park.  Tow package makes towing -like you weren't!
2001,12-08-2004,3,0.7359,4.625,of it from smoothly cruising down the 
2001,07-10-2004,4,0.2023,3.75,for over $32000 new you would think the 
2001,23-07-2005,3,0.0516,4.125,Sierra Nevada Mountains off road.  Dry 
2001,03-10-2005,4,0,4.5,to fall apart.  From the beginning I 
2001,05-12-2005,4,0.1027,5,  I bought the Duramax had a 2001 f250 
2001,31-01-2006,1,-0.5994,4.375, My 2001 is a real pleasure to drive getting 15mph on highways always used regular gasoline.  It performs well in the snow and I'm sold on Allison transmissions.  
2001,30-03-2006,1,0,2.875,FANTASTIC!!!  It does everything I ask 
2001,05-09-2006,3,0,5,have had to have most everything 
2001,01-10-2006,4,0,4.875,freeway at speed to climbing the snowy 
2001,11-02-2007,1,0,3.5,None come to mind
2001,03-05-2007,2,0,4.125,later the little things are starting 
2001,19-06-2007,2,0,3.125, Suburbans have evolved from vinyl 
2001,21-06-2007,2,0.3989,3.5,Entertainment system is like no other factory OEM package offered by others. 12 speaker Bose w/ surround. Passengers can play games / watch movies independent of each other.
2001,21-02-2008,1,0.6124,2.875,maintained and running vehicle just 
2001,08-04-2008,2,0,5, Vehicle has proven very reliable over the past 6+ years rides exceptionally and served our family very well. Would pick this vehicle any day over a SUV. Tons of features in SLT package!
2001,05-06-2009,2,0,4.875,me.  The truck drives like a half-ton 
2001,16-09-2014,3,0,4.5,after time and almost three years 
2002,08-05-2003,2,0,4.125, Air-con excellent when in SE 
2003,24-08-2003,3,0.5826,4.5, My Savanna is a conversion that looks 
2003,01-12-2005,4,0,4,purchased one of these vans based on 
2003,06-05-2010,2,0,4.75,turns heads.  I would not have 
2003,21-02-2016,1,0,4,and performs up to expectations and 
2005,29-01-2005,1,0.7901,4.875,Better MPG and two items listed above. Dealership not very receptive to looking at AC!!!
2005,16-11-2005,4,0.7613,4.875,Definitely the AWD no wheel slip or spin! Plenty of power and tows well. Great vehicle for moving family and their stuff.
2005,14-10-2009,4,0.9682,3.5, Great vehicle for past 4 years. AWD has worked flawlesly and as good as a previous 4wd vehicle with a transfer case and certainly more convenient. Two problems...AC will not hold a charge more than one season...side swinging door hits front passenger door when both open and dents rear door on edge of front door really poor design (where were the engineers???)
2006,21-12-2015,4,0.4404,5, Have owned this from when it was new and I really like everything about it.
2007,17-03-2015,1,0,2.875," I am not usually one to write reviews on vehicles and I find it ironically funny that many people have the same complaints about their GMC Acadia that I do. I purchased this vehicle on a ""deal"" which I should have never done. Now looking back on it the 2007 was probably the worse year for this vehicle. I have already replaced my transmission the power steering has gone had to weld the exhaust twice and also had the rear-windshield washer hose leak all over the fuse box causing the entire vehicle to short out basically. So I laugh at people who write don't believe the reviews..... Well... you are wrong my friend. This vehicle should have been pulled off the market many times over!"
2007,18-11-2006,,0.3612,5, I looked at several different CUVs and SUVs and none had the interior refinement or power and economy as the Acadia. Great product.
2007,13-01-2007,,0.4215,5, Just bought. You should go look at car if you have a growing family.The car has standard bucket seats(credit if you want bench) The third seat is removable and the middle row moves foward and back. Adults comfortable in 3rd row. The pricing is like shopping for a Honda. You do not have to pay for all those extra options.They have FD and AWD. It is decieving from the outside and roomy inside. I love it. I also know it is first year out but it has everything I want in a luxury car without the price. Great Job GMC on your crossover. So far good gas mileage . Have not truly broken in yet. Still under the 500 mark.
2007,16-01-2007,,0.7681,5,Bucket seats. Children are older coming from surburban. Roomy. The design gas mileage good so far. The outside uses chrome and bigger tires. The dash uses red light. They thought of everything. Cup holders everywhere. Happy to downsize and airbags just like Honda.
2007,17-01-2007,,-0.4767,5, I looked at the F150 Titan and Tundra.The GM trucks were easily the best and of those two the GMC looks better. I rated my truck a 10 in every category except for fuel economy. I get around 18mpg mixed with the 5.3L 4x4 extended cab but they said that after a few thousand miles it will improve. So far only 1700 miles. The ride is great and the remote start has come in handy in warming up the interior these last few weeks.  Engine power is good.  Transmission is smooth and responsive. The 4x4 is responsive.
2007,26-01-2007,,0,5,  WE purchased this 07 model with 17k miles with in the 2 years of owning it. the timing chain alternator all 4 rotars head lamps and NOW transmission . it only has 47k miles and is my dream car being a mom of three children. it is every thing we were looking for with the third row black leather and rear dvd. but is 100% unsafe I have broke down way to many times to mention. and GMC is giving me a hard time Cause it is more then 5 years old .. Im discussed and starned. BUY forign
2007,18-03-2007,,0.9799,5,GM trucks are usually reliable but the 100000 powertrain warranty is great piece of mind.  It covers the 4x4 hardware engine and transmission. Get the backup warning and the G80 diff too- both must haves. My kids love the extended cab doors that swing out far it helps in tight parking lots.
2007,01-06-2007,,0.128,4.875, Quiet safe lots of useful space refined decent on gas drives like a car great looks. 
2007,01-07-2007,,0,4.875," We just picked up our loaded GMC Acadia Friday night and are extremely happy. The vehicle is well built inside and out and is a pleasure to drive. Lots of bells and whistles to keep you occupied in your spare time. I'm 6'2"" and I have more than enough room. This vehicle drives so smoothly it feels like your driving 55 when you're really going 85(oops!). Handling is superior to other vehicles we've owned. It's a real head turner when your driving down the road. I saw numerous Envoy owners trying to catch up with us to get a peak. The Acadia will be a real winner for GMC. The motor has more than enough power to get up and go. I would recommend this vehicle to anyone. Watch out Soccer Moms!"
2007,24-09-2007,,0.9447,2.5,"The looks and the power. When you step on the gas the truck waits for about a second and then the big vortec max kicks in almost as if the truck were saying ""Duh.. I'm a big powerful truck and I'll run over that Toyota Prius in front of me if you keep that pedal down!"""
2007,01-12-2007,,0.9708,4.875,"We like the 19"" wheels and the overall look and feel of the Acadia. Interior head and leg room are excellent. Exterior is sharp!The duel sun roofs really give it an open feeling. It's not a minivan!"
2007,15-03-2008,,0.1154,4.875, I just bought my truck a few days ago. I got the vortec max SLT. I was worried about such a big engine and fuel economy (6.0 liter) but when under moderate excelleration or on the highway it only uses 4 cylinders giving it better mileage than my mini-van that I traded in on it. It is very comfortable and the fit and finish of the leather and brushed aluminum trim competes with a Mercedes or BMW. The new design is way ahead of anything else I have seen on the road when people see it they can't help but notice it's size and intmidating looks. Yes I also got it because I have neer owned anything but a GM automobile but after driving it around I know I made the right choice.
2007,17-10-2008,,0.4201,5, Good looks abound with chrome wheels ground effects package and special fade paint exterior with standard roof to enable city garage parking. Easy pop-out center captain seats and electric rear seat converts to queen bed. In this position with appropriate protection on leather upholstery it's a real work horse to haul 4 X 8 materials ladders etc. Excellent towing ability.  Best of all a real comfortable 7 person touring vehicle with ample luggage storage and 22 mpg.
2007,24-08-2010,,0.9294,4.5,The dealership had a limited selection of extended cabs.  Maybe a crew cab with a longer bed would have been nice but they only come with the 5.5' bed for now so I got the extended cab with the 6.5' bed.  
2007,16-03-2011,,-0.1419,4.25,Doors don't sound solid like a Toyota  when they close small detail but still if GM is going to compete must think of things like this. Would be nice to have wood trim as an option and NAV as an option on mid-priced model.  
2007,23-08-2011,,0.6249,2.5,Engine and fuel economy.
2007,28-06-2012,,-0.1779,2.25, My wife and I are expecting our first child and we looked at every SUV CUV possible to find one that was reliable and safe for our new addition. As soon as we saw it on the lot we were in love. Chrome accents against the black and white background made for a shapr looking vehicle. The ride is great and smooth.  Engine is plenty powerful. Interior is nicely refined and very quiet. Rear legroom is unrivaled by any other vehicle. Rear sliding seat gives an extra 4 inches if needed for back seat passenger. Not badly priced either.
2007,29-08-2012,,0.9081,2.25,Doesn't look like a minivan but has identical functionality and then some aside from slightly less space behind the third row -- but not by much they have put a lot of space behind the third row in this crossover. 
2007,25-03-2013,,0.93,4.75,Everything about this vehicle is great.
2007,17-09-2013,,-0.4213,2.75,leather seats towing capacity roomy
2007,30-12-2013,,0.8065,2.375,I would have liked chrome wheels as an option. They will probably be available on the Denali version when it coes out.
2007,23-05-2015,,-0.6249,4.125,After owning a Yukon Delani I was looking forward to buying another GMC.
2007,27-12-2015,,0.0665,2, This car is by far the worst vehicle we've ever owned.
2007,28-02-2016,,-0.5556,1, I LOVE this car it was my dream car!!... But I HATE it... Transmisson replaces at 90000 needs another at 190000... Power steering went out 2 times... Liftgate issues (hydraulics and locking mechanism)... Sunroof LEAKS... Passanger windows stopped working at 100000... Radio also stopped work8ng at 150000... In general a MONEY PIT
2007,29-03-2016,,0,5, I have a 2007 Acadia with 70000 miles on it. I am having major transmission problems. It slips all the time. Some times it will not go into gear. It is very dangerous when exiting onto a highway. In addition there is a cover that apparently does not cover the power steering fluid/belt? they did not fully explain this well. The issue is when it really rains the car does not steer. So I have ended up in a median and some other odd places. Luckily no one has been hurt... yet. I get endles repairs on this car. I see others are having the same issues. [violative content deleted]
2007,09-06-2016,,0,2,None to date.
2008,11-02-2007,,0,4.25, Very good in snow and provides smooth acceleration. The 4 speed auto is a little whiny. If you drive up a lot of hills get the 6.0 v8 because it is a tad stronger off the line. My family loves this van. I'm planning my vacation in Catskills and all wheel drive will be helpful
2008,05-01-2008,,0.9705,4.125,Standard remote start navigation rear DVD power running boards heated seats power liftgate.
2008,05-03-2008,,0,4.25, I test drove 6 vehicles before I settled for this one. This one wasn't even my 1st choice but I couldn't pass up the great deal I was getting and so far its been good. The handling is pretty good and fuel economy is what can be expected out of an AWD SUV. The vehicle comes with a lot of standard features(denali) like heated seats remote start etc. My only real problem is the 3rd row seat. Does not fold down to the ground and is made for children. Other models like the 2008 Toyota Sequoia and 2008 Lincoln Navigator can sit full grown adults back there and does fold down to the ground and other crossovers of GM do this so why not the full size SUVs.
2008,24-05-2008,,-0.8271,3.75," Great truck horrible gas mileage. I've averaged 15 mpg. This truck has plenty of power great ride quiet cabin (except for the roar of my V8 when I accelerate. leg room is great. I'm 6'5"" tall and love to sit in the back with my toddler when my wife drives. I wish I had opted for more options and the Tahoe is exactly the same truck but several hundred dollars cheaper similarly equipped at most dealerships. If you don't do long commutes and have a need for lots of room you can't go wrong with a Yukon or Tahoe. I have 40000 miles and have never had any problems."
2008,05-11-2008,,0.9038,4.625,Power!
2008,18-05-2009,,0.9061,2.875,Lot of room and easy to maneuver. Also that it is an eight cylinder compared to Dodge Sprinter
2008,03-11-2009,,0.4753,3.5, Vehicle broke down on us 5 times in less than 6 months and the dealership could not figure out the problem or lack of trying to figure out the problem.  One day someone got a bright idea to see if any another dealerships are experiencing the same problem the vehicle will start until it gets hot but don't turn it off because it won't start up again.  Anyhoo some other dealer was having that same problem and at last it was fixed.
2008,09-02-2010,,0,4.125,GMC! A body is no good without working parts!
2008,16-05-2011,,0.7698,3.5,AC problems transmission problems daylight headlamp problems NAV problems are just a few of the continuing problems with this car.
2008,20-09-2011,,0.8176,3.625,and four major repairs in a matter of two months this year could not justify keeping it and loosing another dime. It's a shame. It's like a good looking person with an ugly attitude. Who wants that?! I will never own a GMC vehicle ever again.
2008,22-09-2011,,0,3.875, - $670
2008,31-10-2011,,0,2,in 2011. Loved it. The look it's features. It fit my family of six well. I have performed all routine maintenance. But after a little less than three years of ownership and over a dozen trips to the dealership for repairs not under warranty and thousands of dollars spent
2008,15-02-2012,,-0.2942,3.875,Onstar DVD player remote start heated seats memory seats navigation system and backup camera.
2008,30-08-2012,,0.8271,3.25,Interior is the most appealing aspect of this car! 
2008,01-03-2013,,-0.91,4.625,I don't trust the car anymore to get me out of town as it has broke down twice and had to be towed.
2008,21-07-2013,,-0.6707,2.875,When you get a warning light on this car you had better be close to a GMC dealer because it will just quit in the middle of the street.
2008,29-08-2013,,0.3147,2.625, I bought my 2008 GMC Acadia with 25000 miles on it.
2008,08-01-2014,,0.3544,3.875, Purchased it used as a family car
2008,21-02-2014,,0.946,4, There are obvious defects with the 2008 Acadia.
2008,23-04-2014,,0,3.5, I'm sorry to say the 2008 Acadia will be my last GMC.
2008,18-08-2014,,-0.4019,1,The steering transmission and airbag issues need to be corrected by GMC.
2008,04-01-2015,,0,2.5,Loved the quiet ride and the space...then the bottom fell out.
2008,11-02-2015,,0,2, GM discovered that many Acadias recieved a defective wave plate during assembly.  The wave plate is a component in the transmission.  Instead of recalling the Acadia and having the part replaced GMC offered a special warranty up to 120000 miles to reimburse the cost of transmission repairs.  Of course since I actually take care of my car and drive it gently my wave plate lasted until 121500 miles.  The transmission repair cost $2700.  The problem was a defective waveplate.  GMC did not provide any assistance with the repair costs despite the fact it was barely beyond the warranty.  I'm actually somewhat thankful though.  Now I have a good excuse to buy a foreign car.  For the past 20 years I have always owned domestic vehicles...mostly GM vehicles because I have felt proud of supporting the domestic auto makers.  But with this latest issue it is apparent that GM has no interest in supporting their customers.  Now if people give me a hard time about buying foreign I can refer to this experience and people will understand.  This will be the last GM product I own.  I was going to buy a new Yukon in the Spring.  That won't be happening now.
2008,25-06-2015,,-0.0772,1,I now have 90000 miles on the car and have taken extremely good care of it.
2008,21-08-2015,,0,1,They need to honor promises of delivering good cars which they have not done here. 
2008,29-07-2016,,0,1,47000 new master cylinder
2008,15-08-2016,,0.5994,2,Water pump at 42000 miles at $564 (later paid for by GMC...amazing).
2009,31-10-2009,,-0.5584,3.5,Body design. That's it
2009,04-02-2010,,0,2.625, I've had my Acadia for almost two years come February. Two of the fuel injectors started leaking two weeks ago. The engine light came on at the same time my engine started smoking and hesitating in rush hour traffic.  OnStar ran a diagnostic and reported the findings to me. I had it towed in to the dealer they wouldn't tell me the problem until I told them that OnStar had already made it known to me. Four days later I drove my Acadia back home and fumes were coming through the air vents. I took it back to the dealer. They said the other fuel injectors had stopped working. I'm not an auto mechanic but this is bad right?
2009,20-03-2010,,-0.8316,3.5,We're a family of five and we all fit. My husband and I have three babies in car seats. I consider this a very stylish people hauler. 
2009,23-07-2010,,0.4215,1.25,I haven't had it long enough to make that decision 
2009,23-08-2010,,-0.2225,3.75, I traded my '06 Yukon for a '09 Acadia. At the time gas was $$ and I felt compelled to get a better mileage vehicle. Oops! I paid more for the Acadia than I would have for another Yukon (with the factory and dealer spiffs they were giving back then). Turns out my Yukon got BETTER mileage! The Acadia is O.K. looks good reliable etc but it is more like driving a van than an SUV. My only complaint is the acceleration hesitation in wet and cold weather which nobody can seem to fix. Other than that no problems at all in the first 20k miles. But next time around Im back to a Yukon.
2009,08-09-2010,,-0.8668,3.5,Its roomy & nice to drive 
2009,03-02-2011,,0.8689,2.375, I bought my 2009 GMC Acadia on December 27 2010. Before I made may first payment my power steering went out. Got it back had it two weeks and once again the power steering went out almost caused us to flip. It has been in the shop more than I have had it. It only has 24000 miles. This car makes me very nervous! Not for sure I even want it back this round. 
2009,01-10-2011,,0,3.125,They did some minor repairs and wanted me to bring it back in a few days for more work as they spotted a small oil leak but couldn't figure out where it was coming from.
2009,11-05-2012,,0,2.375,Roomy comfortable quiet powerful. Seven seater with plenty of room behind third row.
2009,28-05-2012,,0.6249,3.625, I purchased my Arcadia one month ago & Have only been behind the wheel for only a week - three days after purchasing it I got it home & the DVD player quit working & it had to be replaced then the check engine light came on & I had it checked & the 3rd cylinder wasn't firing then the A/C quit blowing cold- so I took it in & after a bunch of mumbo-jumbo it was fixed so all problems were fixed by the dealership but this has been a very poor car buying experience & I do not think that I will ever get a new or GMC ever again - I just don't feel comfortable or safe with my family in it taking trips & I am waiting for more problems to occour ...............
