 Review , Score ,,,
 Ken Washington, Ford vice president of research and advanced engineering and chief technology officer explains the reasoning behind Ford’s new Robotics and Artificial Intelligence Research team.,,,
,{'neu': 0.825, 'neg': 0.0, 'compound': 0.6249, 'pos': 0.175}
 Ken Washington, Ford vice president of research and advanced engineering and chief technology officer explains the reasoning behind Ford’s new Robotics and Artificial Intelligence Research team.,,,
,{'neu': 0.825, 'neg': 0.0, 'compound': 0.6249, 'pos': 0.175}
 Ford to open its first Smart Mobility office outside of the U.S. Find out how the new London office will drive mobility solutions to the next level.,,,,
,{'neu': 0.85, 'neg': 0.0, 'compound': 0.5267, 'pos': 0.15}
 Giving back to the local community is crucial. That’s why Ford has funded over $1 million in scholarships to more than 1,000 Detroit-area students to-date. Learn more about this year’s Blue Oval Scholars award ceremony.,,,
,{'neu': 0.848, 'neg': 0.0, 'compound': 0.7096, 'pos': 0.152}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Here comes the sun! Learn how Ford worked with the Georgia Institute of Technology and SunPower to build the future of renewable energy.,,,,
,{'neu': 0.902, 'neg': 0.0, 'compound': 0.3382, 'pos': 0.098}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford is heading back! To celebrate, relive our return to Le Mans in the new documentary now available with Prime on #AmazonVideo. ,,,
,,,,
#FordLeMans,,,,
…see more,,,,
,{'neu': 0.857, 'neg': 0.0, 'compound': 0.6114, 'pos': 0.143}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Ford’s groundbreaking FiVE Lab uses industry-leading VR technology to design and test your car before it’s even built.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Nearly 60 years ago, Ford helped build The University of Michigan Phoenix Memorial Laboratory. Today, we’re working with the lab to fuel the future and design more gasoline alternatives.,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.,,,,
,{'neu': 0.842, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.158}
 Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.,,,,
,{'neu': 0.842, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.158}
 Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.,,,,
,{'neu': 0.842, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.158}
 Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.,,,,
,{'neu': 0.842, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.158}
 Blast off! Discover how Ford engineers study robotic systems on the International Space Station to improve vehicle-to-vehicle communications.,,,,
,{'neu': 0.842, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.158}
 While technology continues to evolve at a rapid pace, the industry is regressing in terms of gender diversity. Ford is working to change that.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 While technology continues to evolve at a rapid pace, the industry is regressing in terms of gender diversity. Ford is working to change that.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 While technology continues to evolve at a rapid pace, the industry is regressing in terms of gender diversity. Ford is working to change that.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Extreme testing is the name of the game. Discover how Ford engineers assess the durability of interior materials.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Extreme testing is the name of the game. Discover how Ford engineers assess the durability of interior materials.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Extreme testing is the name of the game. Discover how Ford engineers assess the durability of interior materials.,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Could bamboo be the key to providing more high-quality, environmentally-conscious vehicles? We think so.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 Since the Ford Driving Skills for Life program joined Illinois’ Operation Teen Safe Driving initiative, the state has experienced a significant reduction in teen fatalities. Learn more.,,,
,{'neu': 0.728, 'neg': 0.123, 'compound': -0.0516, 'pos': 0.149}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 We’re investing $350M in #Michigan, creating 800 manufacturing jobs.,,,
,{'neu': 0.784, 'neg': 0.0, 'compound': 0.296, 'pos': 0.216}
 Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.,,,,
,{'neu': 0.85, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.15}
 Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.,,,,
,{'neu': 0.85, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.15}
 Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.,,,,
,{'neu': 0.85, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.15}
 Car parts made from…CO2? Yes! Check out how Ford looks to scientists to make car production more sustainable.,,,,
,{'neu': 0.85, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.15}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 We’re keen on this green, folks! Take a look at this electric Ford vehicle that is truly green on the inside and out.,,,
,{'neu': 0.778, 'neg': 0.0, 'compound': 0.69, 'pos': 0.222}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.,,,,
,{'neu': 0.892, 'neg': 0.0, 'compound': 0.4404, 'pos': 0.108}
 What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.,,,,
,{'neu': 0.892, 'neg': 0.0, 'compound': 0.4404, 'pos': 0.108}
 What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.,,,,
,{'neu': 0.892, 'neg': 0.0, 'compound': 0.4404, 'pos': 0.108}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
