 Review , Score ,,,
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Bill Ford shares Ford's plan to solve mobility challenges in cities like #Detroit and others worldwide.,,,,
,{'neu': 0.606, 'neg': 0.0, 'compound': 0.7003, 'pos': 0.394}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Talk about streaming in style! Thanks to the new features in the 2018 Ford Expedition, you will soon be able to stream TV on the go.,,,
,{'neu': 0.887, 'neg': 0.0, 'compound': 0.4926, 'pos': 0.113}
 Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.,,,,
,{'neu': 0.755, 'neg': 0.0, 'compound': 0.7777, 'pos': 0.245}
 Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.,,,,
,{'neu': 0.755, 'neg': 0.0, 'compound': 0.7777, 'pos': 0.245}
 Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.,,,,
,{'neu': 0.755, 'neg': 0.0, 'compound': 0.7777, 'pos': 0.245}
 Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.,,,,
,{'neu': 0.755, 'neg': 0.0, 'compound': 0.7777, 'pos': 0.245}
 Why did the Ford cross the road? To help drive a world of mobility! Check out how we’re using technology to help create a new experience for all drivers.,,,,
,{'neu': 0.755, 'neg': 0.0, 'compound': 0.7777, 'pos': 0.245}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 See how Ford is working with cities to help ease the challenges of everyday commutes.,,,,
,{'neu': 0.649, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.351}
 ICYMI: Danica Patrick officiated the Girls' Fast Track Races featuring four Girl Scouts – see her at Daytona 500!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 ICYMI: Danica Patrick officiated the Girls' Fast Track Races featuring four Girl Scouts – see her at Daytona 500!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 ICYMI: Danica Patrick officiated the Girls' Fast Track Races featuring four Girl Scouts – see her at Daytona 500!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 From STEM to STEAM, Ford is embracing the future for young women by adding arts and creativity to inspire even more innovative thinking. Girls just want to have 'fun' learning!,,,
,{'neu': 0.701, 'neg': 0.0, 'compound': 0.8775, 'pos': 0.299}
 Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!,,,,
,{'neu': 0.619, 'neg': 0.0, 'compound': 0.871, 'pos': 0.381}
 Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!,,,,
,{'neu': 0.619, 'neg': 0.0, 'compound': 0.871, 'pos': 0.381}
 Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!,,,,
,{'neu': 0.619, 'neg': 0.0, 'compound': 0.871, 'pos': 0.381}
 Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!,,,,
,{'neu': 0.619, 'neg': 0.0, 'compound': 0.871, 'pos': 0.381}
 Happy Friday! Is it lunch time yet? Check out 9 Epic Metro Detroit Delis You Should Visit! Share your favorites!!,,,,
,{'neu': 0.619, 'neg': 0.0, 'compound': 0.871, 'pos': 0.381}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 Ford is committed to making all people’s lives better. See how our newly launched program is helping adults living with autism gain valuable skills while bringing a unique set of talent to the workplace.,,,,
,{'neu': 0.591, 'neg': 0.0, 'compound': 0.9432, 'pos': 0.409}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.,,,
,{'neu': 0.864, 'neg': 0.0, 'compound': 0.4574, 'pos': 0.136}
 Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more,,,,
,{'neu': 0.882, 'neg': 0.0, 'compound': 0.5093, 'pos': 0.118}
 Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more,,,,
,{'neu': 0.882, 'neg': 0.0, 'compound': 0.5093, 'pos': 0.118}
 Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more,,,,
,{'neu': 0.882, 'neg': 0.0, 'compound': 0.5093, 'pos': 0.118}
 Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more,,,,
,{'neu': 0.882, 'neg': 0.0, 'compound': 0.5093, 'pos': 0.118}
 Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more,,,,
,{'neu': 0.882, 'neg': 0.0, 'compound': 0.5093, 'pos': 0.118}
 It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!,,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
